Арома (40% робуста),650,188,
Бариста,850,238,
Без кофеина,1400,375,
Бразилия Да Лагоа,1150,313,
Бразилия Минейро,3350,863,
Бразилия Можиана,487.50,147,+
Бразилия Серрадо,700,200,
Бразилия Суль-де-Минас,700,200,
Бразилия Фазенда Монтанари,1200,325,
Бурунди Ярама,1050,288,
Бэрри,800,225,
Вендинг (50% робуста),650,188,
Верона,900,250,
Вьетнам Тай Нгуен,800,225,
Гватемала Санта Роза,950,263,
Гватемала Юнион Кантинил,1000,275,
Гондурас Кабальеро Нат,2500,650,
Гондурас Сан Маркос,900,250,
Гурме,900,250,
Индия Малабарский муссон,1150,313,
Итальянская обжарка,900,250,
Кения АА Маунт,1600,425,
Кения Рукира,2000,525,
Колумбия Вилламария Нат,1650,438,
Колумбия Дулима,1000,275,
Колумбия Ла Кабана Нат,2700,700,
Колумбия Ла Фрагуа,1250,338,
Колумбия Уила,1100,300,
Коста-Рика Сан Рафаэль,1350,363,
Коста-Рика Тарразу,1350,363,
Коста-Рика Эстебан Заморо Нат,2400,625,
Куба Серрано Лавадо,1500,400,
Марагоджип Мексика,1800,475,
Марагоджип Никарагуа,1850,488,
Мексика Чьяпас,1000,275,
Милд (20% робуста),700,200,
Мьянма Иванган,1250,338,
Никарагуа Эль Чипоте Нат,2050,538,
Паганини (25% робуста),1050,288,
Робуста Уганда,650,178,
Руанда Мутетели,812.50,228,+
Руанда Ремера Нат,1950,513,
Сулавеси Торайя,1750,463,
Суматра Гайо,1600,425,
Уганда Сипи Фоллз,1200,325,
Уганда Чигалагала Нат,2250,588,
Флорал,1000,275,
Французская обжарка,900,250,
Эфиопия Амхара Айеху Нат,900,250,
Эфиопия Анасора Анаэробная,1900,500,
Эфиопия Бале Маунтин Нат,1950,513,
Эфиопия Валичу Вачу Нат,2000,525,
Эфиопия Иргачефф,1350,363,
Эфиопия Иргачефф Нат,850,238,
Эфиопия Лалеса Гедеб,1600,425,
Эфиопия Оромия,1100,300,
Эфиопия Сидамо,1250,338,
Эфиопия Сонколле Нат,2250,588,
Эфиопия Султан Легессе,1800,475,